id;first_name;last_name;gender;email;phone;address;city;country;type_of;created_at;updated_at
1;Chelsey;Wyman;OTHER;")Y<L@d52\[.5z*";1-383-473-2680;experiences;South Winfieldmouth;Macedonia;STUDENT;2022-10-16T22:16:19;2022-10-16T13:59:26
2;Lora;Baumbach;OTHER;"nJR1@8:.ial";391.849.2894 x02683;Handcrafted;North Kristinaton;Nicaragua;TEACHER;2022-10-16T12:50:21;2022-10-16T15:58:24
3;Waino;Green;OTHER;"8=@Vp^)h.4K6)k";(257) 372-6977;Lilangeni;Cassidytown;Cote d'Ivoire;STUDENT;2022-10-17T03:18:59;2022-10-16T12:51:12
4;Grace;Murazik;OTHER;"w0]@MYsVUi.+b[";(401) 327-7081 x51545;Georgia;Lake Cleora;Saint Barthelemy;TEACHER;2022-10-16T16:01:53;2022-10-17T06:55:34
5;Sidney;Feeney;FEMALE;"n[SL(@x~M/F.,Yn5'-";593-224-9604 x948;Virtual channels invoice;Dickensfort;Maldives;TEACHER;2022-10-16T20:40:15;2022-10-17T02:50:42
6;Rosemarie;Gerlach;OTHER;"A.#2:@+#bj;.[%p2}P";788.269.2528 x9546;Cambridgeshire SMTP Licensed;Hermanside;Niue;TEACHER;2022-10-16T19:56:05;2022-10-16T09:57:34
7;Tito;Bins;MALE;"-hvS2G@Y$mWE.'E,x|";1-678-577-7871;Strategist full-range;Port Peggiefort;Antarctica (the territory South of 60 deg S);TEACHER;2022-10-17T02:54:23;2022-10-17T00:27:19
8;Neil;Schmeler;FEMALE;"VMJ^d@5p.*D_h";642-460-5789 x54116;online;North Rosetown;Mozambique;STUDENT;2022-10-16T12:41:19;2022-10-16T19:53:08
9;Ocie;Nitzsche;MALE;"}<I@j7J<.seL{";645-730-5924 x0823;parsing payment;Port Joan;Saint Kitts and Nevis;STUDENT;2022-10-16T16:51:01;2022-10-17T04:23:14
10;Augustine;Gerlach;OTHER;"wrwoz@(FSQ9.X,}9V";1-579-270-4986 x050;Tome;Alameda;Kiribati;STUDENT;2022-10-16T12:10:56;2022-10-16T21:33:15
