id;teacher_id;access_token;expired_time;type;created_at;updated_at
1;51676;mindshare;2022-10-16T12:00:47;GOOGLE;2022-10-16T21:47:59;2022-10-17T05:49:34
2;98631;JBOD B2B Table;2022-10-16T14:25:26;GOOGLE;2022-10-16T16:37:07;2022-10-17T01:12:51
3;15648;Managed open;2022-10-16T11:41:07;ZOOM;2022-10-16T14:35:16;2022-10-16T21:51:42
4;31549;program orchid;2022-10-16T18:17:08;ZOOM;2022-10-16T22:02:26;2022-10-16T09:27:59
5;82529;structure overriding Interactions;2022-10-16T14:24:15;FACEBOOK;2022-10-17T05:37:46;2022-10-16T17:09:14
6;32863;Handmade;2022-10-17T03:40:17;ZOOM;2022-10-17T05:05:56;2022-10-16T18:56:27
7;28458;index Buckinghamshire wireless;2022-10-17T05:57:57;GOOGLE;2022-10-17T07:07:04;2022-10-17T02:56:14
8;52738;Springs;2022-10-17T02:41:23;GOOGLE;2022-10-17T00:01:53;2022-10-16T22:29:38
9;15017;Technician generating;2022-10-16T17:33:48;GOOGLE;2022-10-16T09:58:59;2022-10-17T05:52:26
10;77217;Dynamic Dollar;2022-10-17T01:20:42;FACEBOOK;2022-10-16T22:23:49;2022-10-16T23:52:12
